name,family,lookback,side_n,rebalance,split,cagr,total_return,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,annual_turnover,stress_cagr,stress_total_return,stress_sharpe,stress_max_drawdown,stress_avg_month,stress_worst_month,stress_positive_month_pct,stress_month_ge_10_pct,stress_annual_turnover
past_trough_reversal_lb30_n3_r3,past_trough_reversal,30,3,3,test,-0.144001296403644,-0.2174538646610148,-0.7176586767389416,-0.3130057241596037,-0.012114581523791202,-0.08183163542204064,0.2631578947368421,0.0,66.15928819444444,-0.1663770915240549,-0.24946843631424165,-0.8560922869474465,-0.3236911462093255,-0.014301799882603968,-0.08306132895562568,0.2631578947368421,0.0,66.15928819444444
past_trough_reversal_lb30_n3_r7,past_trough_reversal,30,3,7,train,-0.20013547655210262,-0.28118741239544975,-0.650917863172505,-0.44397672334816796,-0.013944619055900312,-0.2035408845553902,0.6111111111111112,0.0,38.3287037037037,-0.21233022680604674,-0.297330426056292,-0.7050847618249448,-0.44582698362850803,-0.015209117645827712,-0.20418633769230543,0.6111111111111112,0.0,38.3287037037037
past_trough_reversal_lb30_n3_r7,past_trough_reversal,30,3,7,test,-0.10084118958443,-0.1543319665132904,-0.5186041935055555,-0.22750833458656972,-0.007986612705189954,-0.10438014207946145,0.5263157894736842,0.0,40.16059027777777,-0.11519742632794239,-0.1755266395412466,-0.6098556774357818,-0.2308086274399802,-0.009312614320372307,-0.10522602460064667,0.5263157894736842,0.0,40.16059027777777
past_trough_reversal_lb60_n1_r1,past_trough_reversal,60,1,1,train,-0.5834327435860822,-0.7260145487626036,-1.7874855007062964,-0.7699993449276141,-0.06182837271765698,-0.3663774757457058,0.3333333333333333,0.0,87.93055555555556,-0.5979147469585238,-0.7399790468265517,-1.8671816836345594,-0.7816350858657677,-0.06465069074236537,-0.3666615436696017,0.3333333333333333,0.0,87.93055555555556
past_trough_reversal_lb60_n1_r1,past_trough_reversal,60,1,1,test,-0.04917604715558188,-0.07644272324281642,-0.0358804698859717,-0.20978621457492586,-0.0014465764237909502,-0.11344204899562305,0.42105263157894735,0.10526315789473684,149.65104166666666,-0.10452619462915336,-0.1597910503379878,-0.24699598969743045,-0.23592163312402803,-0.0064416838433821386,-0.11738202819132149,0.3684210526315789,0.05263157894736842,149.65104166666666
past_trough_reversal_lb60_n1_r3,past_trough_reversal,60,1,3,train,-0.4988885493967684,-0.6399431493818855,-1.4323446022943622,-0.6963149426877113,-0.04913889468320087,-0.30169124635302913,0.3333333333333333,0.05555555555555555,52.75833333333333,-0.5093825766565157,-0.6510347272255389,-1.4825318816016035,-0.70543864777411,-0.05081497866362621,-0.30197896656329404,0.3333333333333333,0.05555555555555555,52.75833333333333
past_trough_reversal_lb60_n1_r3,past_trough_reversal,60,1,3,test,-0.07893288655000219,-0.12161023002958782,-0.17682859999174566,-0.3531576863127298,-0.004645926334082229,-0.13653072739270877,0.42105263157894735,0.05263157894736842,81.16666666666666,-0.10844608187646543,-0.16558388449584494,-0.298985817633108,-0.368345893042651,-0.007343484148511229,-0.13895416143322037,0.3684210526315789,0.05263157894736842,81.16666666666666
past_trough_reversal_lb60_n1_r7,past_trough_reversal,60,1,7,train,-0.5425455550376872,-0.685337583619591,-1.6238444626888122,-0.733514629050585,-0.05524393872254672,-0.3663774757457058,0.3888888888888889,0.05555555555555555,39.230555555555554,-0.5497051023023136,-0.6925911669394913,-1.6604327407660793,-0.7394531715021746,-0.05650721179333475,-0.3666615436696017,0.3888888888888889,0.05555555555555555,39.230555555555554
past_trough_reversal_lb60_n1_r7,past_trough_reversal,60,1,7,test,0.1991362431678685,0.33160627462358394,0.745203022368389,-0.280380931785167,0.019067437572639442,-0.15095101218429352,0.5263157894736842,0.10526315789473684,48.826822916666664,0.17594225382924833,0.2912158833455041,0.681388069072411,-0.2850131969545665,0.01739090035619782,-0.15128422519534457,0.47368421052631576,0.10526315789473684,48.826822916666664
past_trough_reversal_lb60_n2_r1,past_trough_reversal,60,2,1,train,-0.4068627825818265,-0.5380194750540563,-1.3309044631942741,-0.6673492500185025,-0.037130990558543756,-0.22126538158490772,0.3888888888888889,0.05555555555555555,83.53402777777778,-0.4264489370733483,-0.5603941551753228,-1.425880579094323,-0.6828859392078104,-0.03979392083970794,-0.22366463475230436,0.3333333333333333,0.05555555555555555,83.53402777777778
