symbol,entry_time,exit_time,entry_price,exit_price,gross_return,funding_cost,net_return,reason
TRXUSDT,2025-03-16 12:00:00+00:00,2025-03-16 16:00:00+00:00,0.21325,0.2170885,-0.018000000000000016,0.00169726,-0.021297260000000016,stop
TRXUSDT,2025-03-17 00:00:00+00:00,2025-03-17 08:00:00+00:00,0.21171,0.21552078000000002,-0.018000000000000016,0.00050515,-0.020105150000000016,stop
BCHUSDT,2025-03-21 16:00:00+00:00,2025-03-22 16:00:00+00:00,327.19,324.97,0.006785048442800701,0.00013756,0.005047488442800701,time
AAVEUSDT,2025-03-26 16:00:00+00:00,2025-03-27 04:00:00+00:00,180.85,184.1053,-0.018000000000000016,-2.666e-05,-0.019573340000000015,stop
ATOMUSDT,2025-03-28 08:00:00+00:00,2025-03-28 12:00:00+00:00,4.557,4.639026,-0.018000000000000016,0.0,-0.019600000000000017,stop
TRXUSDT,2025-04-06 20:00:00+00:00,2025-04-07 00:00:00+00:00,0.2336,0.226592,0.030000000000000027,0.000102,0.028298000000000025,target
BCHUSDT,2025-06-05 20:00:00+00:00,2025-06-06 00:00:00+00:00,392.01,380.24969999999996,0.030000000000000027,0.0001769,0.028223100000000025,target
BCHUSDT,2025-08-18 04:00:00+00:00,2025-08-19 04:00:00+00:00,567.77,564.43,0.005882663754689488,-0.00016178999999999998,0.004444453754689488,time
BCHUSDT,2025-08-19 16:00:00+00:00,2025-08-20 16:00:00+00:00,555.01,561.64,-0.01194573070755478,-0.00023205000000000003,-0.013313680707554782,time
NEARUSDT,2025-08-22 12:00:00+00:00,2025-08-22 16:00:00+00:00,2.409,2.452362,-0.018000000000000016,-8.935e-05,-0.019510650000000018,stop
XLMUSDT,2025-08-28 20:00:00+00:00,2025-08-29 00:00:00+00:00,0.37421,0.38094578,-0.018000000000000016,7.21e-06,-0.019607210000000017,stop
ETCUSDT,2025-08-29 08:00:00+00:00,2025-08-29 12:00:00+00:00,20.946,21.323028,-0.018000000000000016,0.0,-0.019600000000000017,stop
NEARUSDT,2025-09-01 00:00:00+00:00,2025-09-01 04:00:00+00:00,2.365,2.40757,-0.018000000000000016,0.0,-0.019600000000000017,stop
AAVEUSDT,2025-09-06 20:00:00+00:00,2025-09-07 08:00:00+00:00,297.47,302.82446000000004,-0.018000000000000016,-0.00013113,-0.019468870000000017,stop
BCHUSDT,2025-09-09 16:00:00+00:00,2025-09-10 08:00:00+00:00,577.09,587.47762,-0.018000000000000016,8.017e-05,-0.019680170000000018,stop
ATOMUSDT,2025-10-29 00:00:00+00:00,2025-10-29 16:00:00+00:00,3.095,3.15071,-0.018000000000000016,0.00067875,-0.020278750000000016,stop
XLMUSDT,2025-11-03 04:00:00+00:00,2025-11-03 12:00:00+00:00,0.2916,0.282852,0.030000000000000138,0.00019221,0.028207790000000135,target
TRXUSDT,2025-11-03 16:00:00+00:00,2025-11-04 04:00:00+00:00,0.28755,0.2789235,0.029999999999999916,0.000295,0.028104999999999915,target
TRXUSDT,2025-11-25 04:00:00+00:00,2025-11-26 04:00:00+00:00,0.27212,0.27488,-0.010142584154049894,0.00034822000000000005,-0.012090804154049895,time
ATOMUSDT,2025-11-29 08:00:00+00:00,2025-11-30 08:00:00+00:00,2.416,2.418,-0.0008278145695366224,0.00081686,-0.003244674569536622,time
AAVEUSDT,2025-11-30 12:00:00+00:00,2025-11-30 16:00:00+00:00,177.65,180.8477,-0.018000000000000016,2.554e-05,-0.019625540000000018,stop
ATOMUSDT,2025-12-01 00:00:00+00:00,2025-12-01 04:00:00+00:00,2.372,2.30084,0.029999999999999916,0.0,0.028399999999999915,target
TRXUSDT,2025-12-01 08:00:00+00:00,2025-12-02 08:00:00+00:00,0.27612,0.27754,-0.005142691583369663,-8.749e-05,-0.006655201583369663,time
TRXUSDT,2025-12-10 12:00:00+00:00,2025-12-11 12:00:00+00:00,0.27884,0.28083,-0.00713670922392784,0.00010868000000000001,-0.00884538922392784,time
