candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,profit_factor,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,months
tsmom_72,tsmom,[72],base,full,-0.699942734613704,-0.28531810873868946,0.3657487874293313,-0.7361515941771146,-0.7457868196606796,0.9742775355874389,-0.022956765620419005,-0.031023198124068063,0.2145616720850516,-0.20684458968787278,0.4186046511627907,0.09302325581395349,43
tsmom_72,tsmom,[72],aggressive,train,-0.4791066273426008,-0.27794852713675244,0.744356068384498,-0.0685679784605424,-0.7578075680160776,0.9975241119565341,-0.009938338340986263,-0.040048594655377745,0.449624130112247,-0.30594309155568133,0.4583333333333333,0.20833333333333334,24
tsmom_72,tsmom,[72],aggressive,test,-0.8927102605020146,-0.7563601917915799,0.7147952501732519,-1.6187848462516203,-0.9119262016889598,0.9457785859780834,-0.09441525553796065,-0.1309664499882709,0.24324242172055444,-0.3740782990371625,0.3684210526315789,0.10526315789473684,19
tsmom_72,tsmom,[72],aggressive,full,-0.9441134857413609,-0.5528702831466075,0.7314751314394056,-0.7368086680861581,-0.9596807334996199,0.9742552123505951,-0.04726534826523076,-0.06884131030549234,0.449624130112247,-0.3740782990371625,0.4186046511627907,0.16279069767441862,43
donchian_72,donchian,[72],base,train,1.1257896124776887,0.45725689281576587,0.3755745554806299,1.1894740133881136,-0.2638682775959452,1.0436089914322704,0.035751490558693325,0.014943929538821177,0.31452303283102956,-0.11399684704007496,0.625,0.20833333333333334,24
donchian_72,donchian,[72],base,test,-0.17024235565753554,-0.11135152245263225,0.35616563157700687,-0.15359015161595704,-0.3759454620367447,0.9947620533158205,-0.007147903308585712,-0.02291073878233696,0.1321384874156757,-0.10864942980435854,0.42105263157894735,0.10526315789473684,19
donchian_72,donchian,[72],base,full,0.7638901812171777,0.17159733173433822,0.3671430311970343,0.6142982577494503,-0.3759454620367385,1.0218284657059638,0.016795944431290958,0.004505301449093668,0.31452303283102956,-0.11399684704007496,0.5348837209302325,0.16279069767441862,43
donchian_72,donchian,[72],aggressive,train,2.3977776617455984,0.8417646962158793,0.7509811439355396,1.185311274865588,-0.4705062956706958,1.0434517564077266,0.06803922657628879,0.018451502907708583,0.6992874163684399,-0.22427235875697804,0.5833333333333334,0.2916666666666667,24
donchian_72,donchian,[72],aggressive,test,-0.43626441957443696,-0.304119402362253,0.7123312631540137,-0.15359015161595704,-0.6306509441105632,0.9947620533158205,-0.019583176200062797,-0.05524903437552242,0.264864537234512,-0.21077574327764004,0.3684210526315789,0.21052631578947367,19
donchian_72,donchian,[72],aggressive,full,0.9154481623011652,0.19885902529273314,0.7341899143568269,0.6118469924629446,-0.6306509441105621,1.0217399291051215,0.029322350930924137,-0.00018448330430109738,0.6992874163684399,-0.22427235875697804,0.4883720930232558,0.2558139534883721,43
tsmom_168,tsmom,[168],base,train,0.18287217873850392,0.08747434353800121,0.37525848541943513,0.4102265824104198,-0.36496139314548925,1.015106366496233,0.012656015111964217,-0.010373496776640234,0.29732828285839874,-0.11201909997265047,0.375,0.20833333333333334,24
tsmom_168,tsmom,[168],base,test,-0.1106257723635824,-0.07147889356106207,0.3581486922555999,-0.028077217414491224,-0.3006669717978321,0.999015369751377,-0.0008319915659176926,-0.01065921658671154,0.20675733063519308,-0.14924334910956416,0.42105263157894735,0.21052631578947367,19
tsmom_168,tsmom,[168],base,full,0.052016030358160714,0.014250855386877648,0.36780417460580056,0.22184859935356727,-0.3884730401134664,1.0079994426558212,0.006696198207783838,-0.01065921658671154,0.29732828285839874,-0.14924334910956416,0.3953488372093023,0.20930232558139536,43
tsmom_168,tsmom,[168],aggressive,train,0.057151869959951807,0.028139823716905488,0.7504757588598635,0.4090613045194047,-0.6289711860247631,1.0150629918031704,0.02491371314778973,-0.03158465936254862,0.6531016856745806,-0.21617639305753178,0.375,0.25,24
tsmom_168,tsmom,[168],aggressive,test,-0.35409601646542554,-0.2415698151968131,0.7162973845111998,-0.028077217414491224,-0.5395756585817721,0.999015369751377,-0.0019923258772221366,-0.032402646733533214,0.430669400624456,-0.28042745299137317,0.42105263157894735,0.2631578947368421,19
tsmom_168,tsmom,[168],aggressive,full,-0.31718139599184136,-0.10099402687668546,0.7355848400313054,0.2211784243742823,-0.7021579316604103,1.0079751298855606,0.01302499822976123,-0.032402646733533214,0.6531016856745806,-0.28042745299137317,0.3953488372093023,0.2558139534883721,43
donchian_168,donchian,[168],base,train,1.1029848754304425,0.4494300349242828,0.3759258161926118,1.1747596223157735,-0.251200062615059,1.0430172223585554,0.03693437306448563,-0.0008711766767249829,0.24758778743584586,-0.10270639346987143,0.5,0.25,24
donchian_168,donchian,[168],base,test,0.1666876991454569,0.10243833965853022,0.3578071300906405,0.4514432865490276,-0.25705444281354317,1.0157573301451481,0.012332301396758607,0.0031366804182466623,0.21405135442500067,-0.15392887821679357,0.5263157894736842,0.15789473684210525,19
donchian_168,donchian,[168],base,full,1.4535265856536328,0.28461174590134064,0.36804026639107185,0.864211672773223,-0.25705444281354617,1.0310019163816335,0.026063690234559733,0.0031366804182466623,0.24758778743584586,-0.15392887821679357,0.5116279069767442,0.20930232558139536,43
donchian_168,donchian,[168],aggressive,train,2.353092401727244,0.8296303632328608,0.7511198786904892,1.1778590030752951,-0.45511717713506183,1.0431369181444734,0.07395562894183118,-0.011422316024162327,0.5298932405539238,-0.20204805926284364,0.5,0.375,24
donchian_168,donchian,[168],aggressive,test,0.11115206666499522,0.06894535859604978,0.7155921966372273,0.45098763777953227,-0.4567958133870701,1.0157415960521998,0.022244142344009222,-0.0036331070449904246,0.45094431040491023,-0.291761522263453,0.47368421052631576,0.21052631578947367,19
donchian_168,donchian,[168],aggressive,full,2.7257955518978716,0.4434435457800854,0.7356534833560237,0.8656273654131272,-0.46806631393889386,1.0310546530922433,0.05110636742186333,-0.0036331070449904246,0.5298932405539238,-0.291761522263453,0.4883720930232558,0.3023255813953488,43
