candidate,family,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months
slowrank_lb30_k1_d7_th0.5,slow_rank,optimistic_limit,train,0.03418045869761466,0.016924230040501254,0.03570325137208063,0.48790221859889016,-0.04660757386934389,0.0014365697730188882,0.00031705425158634615,0.03183306704141087,-0.009967879138146118,0.5416666666666666,0.0,0.0,0.22797677,0.0015083577548461458,69.40888103517072,0.894601835489939,24
slowrank_lb30_k1_d7_th0.5,slow_rank,optimistic_limit,test,-0.02648007427730359,-0.016833312569609515,0.023975828078336724,-0.6960792997929265,-0.032046448867456,-0.0014049382412441435,-0.0006521040305645931,0.0062555040045455534,-0.011676222884963394,0.21052631578947367,0.0,0.0,0.05821683000000001,0.000800710309156516,38.58752166377816,0.6239168110918544,19
slowrank_lb30_k1_d7_th0.5,slow_rank,optimistic_limit,full,0.006795283335164326,0.0018916707847453917,0.031080170509405047,0.07634327516949392,-0.04660757386934389,0.00018101972020499057,-0.00038389095267621354,0.03183306704141087,-0.011676222884963394,0.3953488372093023,0.0,0.0,0.28619360000000005,0.0023090680640026617,55.81217546430506,0.7751903411805932,43
slowrank_lb30_k1_d7_th1,slow_rank,taker,train,0.03374356443171855,0.01670968682254248,0.025416096499019807,0.6647319613310372,-0.02454844737503581,0.0014042427750198168,0.0,0.028112422879470023,-0.004921360892948479,0.2916666666666667,0.0,0.0,0.16101963,0.004814512084195033,32.95673488000912,0.4309411161146896,24
slowrank_lb30_k1_d7_th1,slow_rank,taker,test,9.34865666879503e-07,5.913793930112377e-07,0.0031009679818560032,0.0017419310529381514,-0.0021776745325866598,2.4764145661589735e-07,0.0,0.0019440857227257524,-0.0019393805350500504,0.05263157894736842,0.0,0.0,0.00320301,0.0008055290821571415,1.2651646447140381,0.024263431542461005,19
slowrank_lb30_k1_d7_th1,slow_rank,taker,full,0.033744530843084375,0.009304401491572856,0.019111475422699416,0.4941621768237584,-0.02454844737503581,0.0007838728322825885,0.0,0.028112422879470023,-0.004921360892948479,0.18604651162790697,0.0,0.0,0.16422264000000003,0.005620041166352174,18.97613965786372,0.2515370647637858,43
slowrank_lb30_k1_d7_th1,slow_rank,optimistic_limit,train,0.07562888899840403,0.037075735525905484,0.022970024775791284,1.596381935200356,-0.011804711130122603,0.0030665657585651485,0.0,0.03183306704141087,-0.0027608703720796157,0.4166666666666667,0.0,0.0,0.16101963,0.004814512084195033,32.95673488000912,0.4309411161146896,24
slowrank_lb30_k1_d7_th1,slow_rank,optimistic_limit,test,0.0012035442618909542,0.0007611725827607607,0.002689578965766634,0.28424540382746216,-0.0015779388941974393,6.352392800197744e-05,0.0,0.0025462987225195466,-0.0013393440904819753,0.05263157894736842,0.0,0.0,0.00320301,0.0008055290821571415,1.2651646447140381,0.024263431542461005,19
slowrank_lb30_k1_d7_th1,slow_rank,optimistic_limit,full,0.07692345597568218,0.020896062147209626,0.017265104552373723,1.206471239645595,-0.011804711130122603,0.0017396402985488636,0.0,0.03183306704141087,-0.0027608703720796157,0.2558139534883721,0.0,0.0,0.16422264000000003,0.005620041166352174,18.97613965786372,0.2515370647637858,43
slowrank_lb30_k1_d14_th0,slow_rank,taker,train,0.07208002624084431,0.035365733606123495,0.03666751439571618,0.9661826552650477,-0.027905636119580968,0.002938299171626959,0.0021683805435653847,0.03620347866640472,-0.007927715307454841,0.625,0.0,0.0,0.23445848,0.002489570293434662,41.44559083395087,0.9807900587128769,24
