candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
dual_ema_20-200,dual_ema,test,0.259966780774606,1.5038904860012698,-0.1257929060722558,0.02001034447775433,0.0306640413508269,-0.08036943791579476,0.11889309727423991,0.6136363636363636,0.045454545454545456,44
dual_ema_20-200,dual_ema,full,0.18070889065830587,1.2145104002853497,-0.21179266160223542,0.014650781631972582,0.011167320373990819,-0.08744044243125237,0.12004022783601354,0.5789473684210527,0.02631578947368421,152
dual_ema_50-100,dual_ema,train,0.1520660191137726,1.0862613991569987,-0.2001728320440651,0.012591995183185637,0.009237045083046125,-0.08772488203679252,0.1146397985009624,0.5555555555555556,0.018518518518518517,108
dual_ema_50-100,dual_ema,test,0.24680679743107614,1.4354591126201144,-0.12204820426109764,0.019135088842159597,0.016683391111249946,-0.08024929232295186,0.11818973226082874,0.6136363636363636,0.022727272727272728,44
dual_ema_50-100,dual_ema,full,0.1782407428266839,1.1939201936867792,-0.2242607188127832,0.014486048610783363,0.009775630408875524,-0.08772488203679252,0.11818973226082874,0.5723684210526315,0.019736842105263157,152
dual_ema_50-150,dual_ema,train,0.14805439551593635,1.0639425168961827,-0.19783746862535379,0.012273211129346389,0.009593350229761821,-0.08718384675249835,0.12350188168036413,0.5555555555555556,0.009259259259259259,108
dual_ema_50-150,dual_ema,test,0.2567608363545357,1.4872761379997714,-0.12272152481604914,0.019854607207601075,0.029641882739629644,-0.08421242334517931,0.11768191940520789,0.6363636363636364,0.045454545454545456,44
dual_ema_50-150,dual_ema,full,0.17796258873899706,1.1951069826590504,-0.21855107010289976,0.014467825783578008,0.011585598936758923,-0.08718384675249835,0.12350188168036413,0.5789473684210527,0.019736842105263157,152
dual_ema_50-200,dual_ema,train,0.14888365514729696,1.071178893976507,-0.19692540030631533,0.012335598828801407,0.010386554145108806,-0.09216711623559593,0.1252411458708289,0.5462962962962963,0.009259259259259259,108
dual_ema_50-200,dual_ema,test,0.2541669317657078,1.47590691325203,-0.12708313464617493,0.019696623501806346,0.025905809966056514,-0.08466586649255536,0.12520645170107447,0.6363636363636364,0.022727272727272728,44
dual_ema_50-200,dual_ema,full,0.17787950785641748,1.1964975603948178,-0.23171173577095971,0.014466421760460734,0.012155821754760376,-0.09216711623559593,0.1252411458708289,0.5723684210526315,0.013157894736842105,152
risk_managed_momentum_126-3-5-20-150,risk_managed_momentum,train,0.21923359002009013,1.10049349556847,-0.2443745777336328,0.0182918127297199,0.0,-0.13162715223700727,0.19538436343886922,0.49074074074074076,0.10185185185185185,108
risk_managed_momentum_126-3-5-20-150,risk_managed_momentum,test,0.3116250716666922,1.2967455412978377,-0.1566224981563361,0.024078132549138417,0.010337988985023805,-0.08242738394164506,0.16160845119587686,0.6136363636363636,0.13636363636363635,44
risk_managed_momentum_126-3-5-20-150,risk_managed_momentum,full,0.24481487274858615,1.1597662447777541,-0.2443745777336328,0.019966800045867365,0.007676814718277858,-0.13162715223700727,0.19538436343886922,0.5263157894736842,0.1118421052631579,152
