family,symbol,side,lookback,hold,threshold,aux,stop,target,key,robust_dev,neighbor_count,neighbor_pass_ratio,neighbor_median_val_pf,valid_blocks,positive_blocks,positive_block_ratio,train_trades,train_pf,train_cagr,val_trades,val_pf,val_cagr,holdout_gate,holdout_trades,holdout_pf,holdout_cagr,holdout_dd,holdout_boot5,stress_pf,stress_cagr
compression_break,BTCUSDT,long,30,9,0.02,0.5,0.0,0.045,1a2bf855a42c,True,12,0.9166666666666666,2.319814583615773,5,5,1.0,34,2.9323539130894485,0.2810962244128148,24,2.548800153819619,0.3358336075187962,False,30,1.2981168778552645,0.044667708377973625,-0.08169574900314014,-0.004142078957537002,1.0698247289616087,0.007761625615377854
climax_reversal,SOLUSDT,long,3,12,0.015,1.5,0.0,0.018,e52325e6de4f,True,10,0.9,2.0525102616714115,5,5,1.0,72,2.468347438768431,0.49085917685629976,45,2.2671573085872136,0.5983690323897854,False,56,0.5245882117398806,-0.3485391631586079,-0.4678534510410476,-0.018242126748922408,0.4593465499156224,-0.39136974007881153
climax_reversal,SOLUSDT,long,3,12,0.006,2.5,0.0,0.018,7dd039657630,True,10,0.7,2.091145394570561,5,4,0.8,35,2.3465547504490263,0.20511707107314403,28,2.6603553477912767,0.39768437837649984,False,29,0.7573131775261281,-0.09293941567246544,-0.2164126946215107,-0.01579465451577882,0.6649531555501382,-0.1241449392436278
climax_reversal,SOLUSDT,long,3,12,0.01,2.5,0.0,0.018,c85436454d4d,True,10,0.7,2.008058703223736,5,4,0.8,35,2.3465547504490263,0.20511707107314403,26,2.4558493730842534,0.338534960658222,False,28,0.7210483688047534,-0.10402770342625867,-0.22915846687081765,-0.016722532240771637,0.6330919666284988,-0.13382905805853118
climax_reversal,SOLUSDT,long,3,12,0.003,2.5,0.0,0.018,75c96ae7fe5d,True,9,0.6666666666666666,2.1035802818858955,5,4,0.8,35,2.3465547504490263,0.20511707107314403,30,2.865804284662829,0.45973625048389644,False,29,0.7573131775261281,-0.09293941567246544,-0.2164126946215107,-0.015259333308031716,0.6649531555501382,-0.1241449392436278
climax_reversal,SOLUSDT,long,6,12,0.02,2.0,0.0,0.018,8402c6549a3f,True,11,0.7272727272727273,2.1434578840765135,5,4,0.8,35,2.3466615572801808,0.20513540862392432,40,2.487067406353568,0.5619428951265637,False,38,0.7096932310574277,-0.13366499489718997,-0.20056129111369858,-0.014337400991464428,0.6184232249556695,-0.17252731136861754
climax_reversal,SOLUSDT,long,3,12,0.01,1.5,0.0,0.018,a287925c75f6,True,10,0.8,1.8863024906097305,5,5,1.0,71,2.222643259102402,0.42727390654110375,46,2.3216133035366417,0.6327457630497,False,60,0.518369432037137,-0.3800198069993215,-0.4885295235179423,-0.01898619949055107,0.4545198179784521,-0.42360768306866536
climax_reversal,SOLUSDT,long,3,12,0.015,2.5,0.0,0.018,1a2f45cc709b,True,10,0.7,1.9803082872472797,5,4,0.8,34,2.270183992350664,0.19197245221796733,26,2.4558493730842534,0.338534960658222,False,27,0.7822733478634707,-0.07927403240510045,-0.2006330530047049,-0.014956605118430027,0.687800755396385,-0.10878947198063249
climax_reversal,SOLUSDT,long,6,12,0.02,1.5,0.0,0.018,6bc7a5817b5e,True,11,0.8181818181818182,2.0542715576295656,5,4,0.8,56,2.5409241162347613,0.3681099318612935,48,2.1565240201555995,0.6043605223148374,False,54,0.49236374036049174,-0.3701184069122406,-0.47760937677562043,-0.02039904434210555,0.4309558027511464,-0.4101482699731215
climax_reversal,SOLUSDT,long,6,3,0.006,1.7578125,0.0,0.03,c4239dbafd66,True,12,0.9166666666666666,2.291713752850486,5,5,1.0,66,2.1495537357984618,0.4282739015984067,50,2.5730564230804345,1.034859500499767,False,68,0.9307699783654588,-0.06970068406984709,-0.24981960548878634,-0.007410507920619479,0.8137577512037472,-0.14279398905621965
climax_reversal,SOLUSDT,long,6,3,0.003,1.7578125,0.0,0.03,2ff779a5e67a,True,11,0.9090909090909091,2.330138047198259,5,5,1.0,71,2.1314128298895256,0.4795543766464636,51,2.5388491005086475,1.0220396266549425,False,70,0.9521161349763918,-0.057626340959429645,-0.23490985283348675,-0.007089299747046957,0.8321041111429204,-0.1337340465916549
climax_reversal,SOLUSDT,long,3,9,0.02,1.5,0.0,0.018,9897b84a2d8b,True,11,0.9090909090909091,2.3247952828366,5,5,1.0,67,2.1380209951480187,0.3716593728566069,43,3.040760154774593,0.711194803550268,False,55,0.45415353460626345,-0.3927094458032153,-0.5256607185846789,-0.02082002393415625,0.39358838026518717,-0.43202231039778616
