candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months,avg_gross_exposure,annual_turnover
sma_long_150,sma_long,[150],aggressive,full,448.57513593273103,0.6968689044460818,0.48058482446694767,1.3430411657154933,-0.49022391427926215,0.0556678977979574,0.015865314719357038,0.5618053152049114,-0.3105040572431219,0.5179856115107914,0.3597122302158273,0.1366906474820144,139,1.7136074518373374,29.246203314543557
sma_long_200,sma_long,[200],base,train,5.923387563881825,0.27392582032435375,0.1886027481561659,1.3789038784712724,-0.21729612271031973,0.021911479879505275,0.005000841826172553,0.16100748410143995,-0.13458131181178035,0.5208333333333334,0.09375,0.010416666666666666,96,0.668498169970371,10.218160523594111
sma_long_200,sma_long,[200],base,test,1.6838826991081888,0.3196394992547402,0.20955962223460192,1.4287652883032425,-0.18006902329805452,0.024886978996568634,0.020835498977135103,0.18827037374836086,-0.07295656766926495,0.6046511627906976,0.09302325581395349,0.0,43,0.7816600883482329,11.232436676033657
sma_long_200,sma_long,[200],base,full,17.581560101923248,0.28784070064903733,0.19526726734376385,1.3939322293203984,-0.21729612271031973,0.02283195802363279,0.006373597410125109,0.18827037374836086,-0.13458131181178035,0.5467625899280576,0.09352517985611511,0.007194244604316547,139,0.7033680568769124,10.530701131199153
sma_long_200,sma_long,[200],balanced,train,19.40983704975303,0.45845332181412113,0.30205136641247354,1.4022493348259306,-0.3506441164413885,0.03592076770421216,0.002822462662782965,0.28107107915955165,-0.18940941376046028,0.5104166666666666,0.22916666666666666,0.041666666666666664,96,1.0678831711504133,14.414359206258268
sma_long_200,sma_long,[200],balanced,test,3.4658365854581596,0.52258447177956,0.3464945208149718,1.3872896743128489,-0.2996203620136424,0.039995107813962594,0.03083140184519939,0.31383096832320523,-0.12569425512925136,0.5813953488372093,0.3023255813953488,0.046511627906976744,43,1.2956887043223275,17.035536797901646
sma_long_200,sma_long,[200],balanced,full,90.1469970000262,0.4779214373040974,0.31635625491843566,1.394496192266515,-0.3506441164413885,0.03718117507629323,0.00879817996621135,0.31383096832320523,-0.18940941376046028,0.5323741007194245,0.2517985611510791,0.04316546762589928,139,1.138079517167317,15.222052885304683
sma_long_200,sma_long,[200],aggressive,train,72.27706393230136,0.7114038630615069,0.46273111233672204,1.3962430498493983,-0.49865662040297065,0.05528104967637073,0.002090306975669698,0.46093349750235046,-0.27489967698505535,0.5,0.3125,0.125,96,1.6317902947273524,21.811803367782236
sma_long_200,sma_long,[200],aggressive,test,7.15689047730158,0.8033519689682629,0.5355220515325951,1.3699716416579615,-0.4382285769232701,0.0610361907328389,0.04465210216822135,0.49384436792849384,-0.19330308968575527,0.5813953488372093,0.3953488372093023,0.13953488372093023,43,2.0031912314657685,25.756847412727
sma_long_200,sma_long,[200],aggressive,full,596.7129849940075,0.7392257060955221,0.4862370252313809,1.3842374287199737,-0.49865662040297065,0.05706141705355153,0.009226716187584971,0.49384436792849384,-0.27489967698505535,0.5251798561151079,0.3381294964028777,0.12949640287769784,139,1.7462343484045628,23.027435284070613
